example,Descriptive,IPA,CMU,CODE,SIL1,SIL2,SIL3,SIL4,UNVOICE,VOICE,SONORANT,NONSON,LIQUID,SEMI-GLID,VOCALIC,STOP,NASAL,FRICATIVE,AFFRICATE,APPROXIMANT,LATERAL,BILABIAL,LABIODENTAL,DENTAL,ALVEOLAR,POSTALVEOLAR,PALATAL,VELAR,GLOTTAL,FB1A,FB2A,FB3A,FB4A,FB5A,HL1A,HL2A,HL3A,HL4A,HL5A,HL6A,FB1B,FB2B,FB3B,FB4B,FB5B,HL1B,HL2B,HL3B,HL4B,HL5B,HL6B,,SUM,,,,,
chew,C,tʃ,CH,C,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,0.8,0,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,
"jump, badge",J,dʒ,JH,J,0,0,0,0,0,1,0,1,0,0,0,0,0,0.2,0.8,0,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,
roe,r,ɹ,R,r,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.9,0.1,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,
you,j,j,Y,y,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,
we,w,w,W,w,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.05,0.1,0.7,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,
lie,l,l,L,l,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2,0.8,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,
bee,i,i,IY,i,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0.4,0.1,0,0,0,0,0.4,0.1,0,0,0,0.4,0.1,0,0,0,0,,4,2,0.5,0.5,0.5,0.5
bit,I,ɪ,IH,I,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0.05,0.4,0.05,0,0,0,0.4,0.1,0,0,0,0.05,0.4,0.05,0,0,0,,4,2,0.5,0.5,0.5,0.5
bait,e,eɪ,EY,e,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0.05,0.4,0.05,0,0,0.4,0.1,0,0,0,0,0.05,0.4,0.05,0,0,,4,2,0.5,0.5,0.5,0.5
bet,E,ɛ,EH,E,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0,0,0.05,0.4,0.05,0.4,0.1,,0,0,0,0,0,0.05,0.4,0.05,,4,2,0.5,0.5,0.5,0.5
